Species,Tag,Year,Location,Burn,Bison,d15N,d13C
P.man,7717,2019,MUR,Burned,Bison,3.72,-23.03
P.man,7730,2019,TCR,Unburned,No bison,4.7,-21.08
P.man,7733,2019,TC,Unburned,No bison,7.51,-20.23
P.man,8548,2018,CCW,Burned,No bison,8.83,-10.15
P.man,8548,2018,CCW,Burned,No bison,8.21,-11.24
P.man,8556,2018,HL,Burned,Bison,2.88,-21.13
P.leu,8573,2018,L,Unburned,Bison,6.59,-22.47
P.man,8597,2018,TCR,Burned,No bison,8.38,-9.95
P.man,8615,2017,CCW,Unburned,No bison,4.56,-21.87
P.man,8658,2017,CCW,Unburned,No bison,5.75,-20.94
P.man,8767,2018,TC,Burned,No bison,7.72,-10.52
P.man,9077,2019,CCEE,Burned,No bison,11.02,-24.81
P.man,9080,2019,CCW,Unburned,No bison,4.15,-24.31
P.man,9089,2019,CCEE,Burned,No bison,11.05,-24.35
P.man,9130,2019,CCEE,Burned,No bison,6.47,-22.86
P.man,9985,2023,CCWE,Burned,No bison,2.90,-15.85
P.leu,7640,2019,TC,Burned,No bison,4.66,-23.70
P.leu,7666,2019,TCE,Burned,No bison,5.55,-22.83
P.leu,9912,2023,HL,Burned,Bison,4.01,-23.78
P.leu,0083,2023,MU,Burned,Bison,1.48,-25.14
P.leu,0000,2023,HL,Burned,Bison,5.64,-25.07
P.leu,7689,2019,HPW,Unburned,Bison,4.88,-23.13
P.leu,0037,2023,HL,Burned,Bison,4.73,-19.55
P.leu,0101,2023,HL,Burned,Bison,2.11,-25.09
P.leu,0037,2023,HL,Burned,Bison,2.12,-16.72
P.leu,9934,2023,HL,Burned,Bison,1.90,-25.89
P.leu,0041,2023,HL,Burned,Bison,3.70,-24.43
P.leu,0064,2023,HL,Burned,Bison,4.03,-23.79
P.leu,9564,2019,SF,Burned,No bison,5.31,-24.13
P.leu,0064,2023,HL,Burned,Bison,1.43,-24.86
P.leu,9978,2023,HL,Burned,Bison,2.29,-24.90
P.leu,0018,2023,MU,Burned,Bison,1.64,-25.66
P.leu,7703,2019,TCE,Burned,No bison,5.41,-22.68
P.leu,9821,2022,WH,Burned,Bison,1.09,-14.24
M.och,7667,2019,CCW,Burned,No bison,4.69,-25.74
M.och,7699,2019,CCEE,Burned,No bison,2.95,-19.32
M.och,9988,2023,HPW,Unburned,Bison,3.88,-23.66
M.och,9935,2023,HPW,Unburned,Bison,2.86,-23.94
M.och,0292,2020,WH,,Bison,2.46,-26.47
M.och,no tag #,2019,FC,Unburned,No bison,3.97,-21.85
M.och,2358,2019,CCEE,Burned,No bison,3.94,-24.39
M.och,9880,2023,HPW,Unburned,Bison,2.67,-25.96
M.och,0017,2023,CCW,Burned,No bison,3.61,-24.89
M.och,2411,2019,FC,Unburned,No bison,4.17,-22.06
M.och,9953,2023,HPW,Unburned,Bison,3.38,-23.46
M.och,7647,2019,TCR,Unburned,No bison,4.42,-27.16
M.och,0149,2023,HPW,Unburned,Bison,3.80,-24.77
M.och,0038,2023,HPW,Unburned,Bison,3.32,-23.48
M.och,9990,2019,HPW,Unburned,Bison,4.35,-24.82
M.och,9778,2023,HPW,Unburned,Bison,3.43,-23.78
M.och,9891,2023,HPW,Unburned,Bison,3.73,-24.77
M.och,0118,2023,HPW,Unburned,Bison,4.23,-24.60
M.och,9861,2023,HPW,Unburned,Bison,4.12,-23.48
M.och,0015,2023,HPW,Unburned,Bison,3.37,-22.57
