Type,Species,Tag,Year,Location,Burn,Bison,d15N,d13C
Small mammal,P.man,2436,2019,CCW,Unburned,No bison,5.45,-21.05
Small mammal,P.man,2439,2019,SF,Burned,No bison,6.32,-21.57
Small mammal,P.man,2440,2019,TCR,Unburned,No bison,6.01,-22.46
Small mammal,P.man,2441,2019,SBEX2,Burned,No bison,4.05,-22.39
Small mammal,P.man,2443,2019,CCWE,Unburned,No bison,3.07,-20.63
Small mammal,P.leu,2445,2019,WH,Burned,Bison,2.74,-25.08
Small mammal,R.meg,2448,2019,TCR,Unburned,No bison,3.33,-23.75
Small mammal,P.leu,2514,2016,HL,Unburned,Bison,5.13,-15.7
Small mammal,R.meg,2613,2016,HPW,Unburned,Bison,8.77,-16.74
Small mammal,P.man,2729,2018,SBEX1,Unburned,No bison,8.14,-15.2
Small mammal,P.man,2923,2019,SB,Burned,No bison,5.5,-9.93
Small mammal,P.man,2924,2019,HPN,Unburned,Bison,4.32,-23.84
Small mammal,P.man,2926,2019,TC,Unburned,No bison,5.78,-11.24
Small mammal,P.leu,2930,2018,TCEX,Unburned,No bison,6.49,-18.44
Small mammal,P.man,2932,2018,TC,Burned,No bison,8.44,-10.43
Small mammal,P.leu,2936,2019,WH,Burned,Bison,2.25,-21.4
Small mammal,P.leu,2937,2018,TCEX,Unburned,No bison,7.75,-17.74
Small mammal,P.leu,2938,2018,HL,Burned,Bison,4.87,-23.96
Small mammal,R.meg,2939,2019,FC,Unburned,No bison,5.01,-26.57
Small mammal,P.man,2940,2018,FC,Burned,No bison,5.54,-18.07
Small mammal,P.man,2940,2018,FC,Burned,No bison,5.59,-18.77
Small mammal,P.man,2941,2019,L,Burned,Bison,2.3,-12.65
Small mammal,P.man,2944,2019,SB,Burned,No bison,7.22,-21.04
Small mammal,P.man,2947,2018,TC,Burned,No bison,8.36,-10.84
Small mammal,P.leu,2954,2019,TCR,Unburned,No bison,2.72,-17.25
Small mammal,P.man,2955,2019,L,Burned,Bison,8.51,-24.13
Small mammal,P.man,2959,2019,CCE,Burned,No bison,5.01,-20.06
Small mammal,P.leu,2960,2019,WH,Burned,Bison,3.92,-23.26
Small mammal,M.och,2964,2018,WH,Unburned,Bison,3,-25.34
Small mammal,P.leu,2970,2018,WH,Unburned,Bison,2.76,-21.26
Small mammal,P.man,2972,2018,HL,Burned,Bison,6.03,-21.61
Small mammal,P.leu,2973,2018,HPW,Burned,Bison,2.37,-23.95
